der Name, die Namen	name
name	der Name, die Namen
der Vorname, die Vornamen	first name/given name
first name/given name	der Vorname, die Vornamen
der Nachname, die Nachnamen	last name/surname
last name/surname	der Nachname, die Nachnamen
Wie ist dein Name?	What's your name? (informal)
What's your name? (informal)	Wie ist dein Name?
Wie ist Ihr Name?	What is your name? (formal)
What is your name? (formal)	Wie ist Ihr Name?
Mein Name ist Philipp.	My name is Philipp.
My name is Philipp.	Mein Name ist Philipp.
Wie heißen Sie?	What is your name? (formal)
What is your name? (formal)	Wie heißen Sie?
Wie heißt du?	What's your name? (informal)
What's your name? (informal)	Wie heißt du?
Ich heiße Franziska.	My name is Franziska.
My name is Franziska.	Ich heiße Franziska.
Wie ist dein Nachname?	What's your last name? (informal)
What's your last name? (informal)	Wie ist dein Nachname?
Wie ist Ihr Nachname?	What is your last name? (formal)
What is your last name? (formal)	Wie ist Ihr Nachname?
Mein Nachname ist Neumann.	My last name is Neumann.
My last name is Neumann.	Mein Nachname ist Neumann.
Wer sind Sie?	Who are you? (formal)
Who are you? (formal)	Wer sind Sie?
Wer bist du?	Who are you? (informal)
Who are you? (informal)	Wer bist du?
Ich bin Franziska.	I'm Franziska.
I'm Franziska.	Ich bin Franziska.
Ja.	Yes.
Yes.	Ja.
Nein.	No.
No.	Nein.
"Okay.
aus dem Englischen"	Okay.
Okay.	"Okay.
aus dem Englischen"
Entschuldigung!	Sorry! 
Sorry! 	Entschuldigung!
"Danke.
alternativ: Danke schön./Danke sehr."	Thanks./Thank you.
Thanks./Thank you.	"Danke.
alternativ: Danke schön./Danke sehr."
Vielen Dank.	Many thanks./Thank you very much.
Many thanks./Thank you very much.	Vielen Dank.
Bitte.	You're welcome.
You're welcome.	Bitte.
Gerne.	With pleasure.
With pleasure.	Gerne.
Gern geschehen.	Anytime! 
Anytime! 	Gern geschehen.
Kein Problem.	No problem!
No problem!	Kein Problem.
Das macht nichts!	It doesn't matter!
It doesn't matter!	Das macht nichts!
Herzlichen Glückwunsch!	Congratulations!
Congratulations!	Herzlichen Glückwunsch!
Viel Glück!	Good luck!
Good luck!	Viel Glück!
Ich freue mich!	I'm glad.
I'm glad.	Ich freue mich!
Das ist toll!	That's great!
That's great!	Das ist toll!
Achtung!	Caution!
Caution!	Achtung!
Auf keinen Fall!	No way! 
No way! 	Auf keinen Fall!
Das geht leider nicht.	Unfortunately, it's not possible. 
Unfortunately, it's not possible. 	Das geht leider nicht.
Hallo!	Hello!
Hello!	Hallo!
"Hi!
aus dem Englischen"	Hi! 
Hi! 	"Hi!
aus dem Englischen"
Guten Tag!	Hello!
Hello!	Guten Tag!
Hallo, Herr Richter!	Hello, Mr. Richter!
Hello, Mr. Richter!	Hallo, Herr Richter!
Hallo, Anna!	Hello, Anna!
Hello, Anna!	Hallo, Anna!
Guten Morgen, Peter!	Good morning, Peter!
Good morning, Peter!	Guten Morgen, Peter!
Guten Tag, Frau Steller!	Hello, Ms. Steller!
Hello, Ms. Steller!	Guten Tag, Frau Steller!
Guten Abend, Herr Richter!	Good evening, Mr. Richter!
Good evening, Mr. Richter!	Guten Abend, Herr Richter!
Gute Nacht, Anna!	Good night, Anna!
Good night, Anna!	Gute Nacht, Anna!
Bis morgen!	See you tomorrow!
See you tomorrow!	Bis morgen!
Auf Wiedersehen!	Goodbye!
Goodbye!	Auf Wiedersehen!
Bis bald!	See you soon!
See you soon!	Bis bald!
Tschüss!	Bye!
Bye!	Tschüss!
"Wie geht es dir?
alternativ: Wie geht’s dir?"	How are you? 
How are you? 	"Wie geht es dir?
alternativ: Wie geht’s dir?"
Wie geht es Ihnen?	How are you? (formal)
How are you? (formal)	Wie geht es Ihnen?
Mir geht es gut, danke.	I'm fine, thank you.
I'm fine, thank you.	Mir geht es gut, danke.
Mir geht es nicht so gut.	I’m not so well. 
I’m not so well. 	Mir geht es nicht so gut.
Mir geht es schlecht.	I'm not doing well. 
I'm not doing well. 	Mir geht es schlecht.
Ich bin glücklich.	I'm happy.
I'm happy.	Ich bin glücklich.
Ich bin müde.	I'm tired.
I'm tired.	Ich bin müde.
Ich bin krank.	I'm sick.
I'm sick.	Ich bin krank.
Ich bin erkältet.	I have a cold. 
I have a cold. 	Ich bin erkältet.
Ich bin gestresst.	I'm stressed out.
I'm stressed out.	Ich bin gestresst.
Ich bin sauer.	I'm angry!
I'm angry!	Ich bin sauer.
Ich bin traurig.	I’m sad.
I’m sad.	Ich bin traurig.
Ich brauche Hilfe.	I need help.
I need help.	Ich brauche Hilfe.
Woher kommst du?	Where are you from? (informal)
Where are you from? (informal)	Woher kommst du?
Woher kommen Sie?	Where are you from? (formal)
Where are you from? (formal)	Woher kommen Sie?
Ich komme aus Russland.	I'm from Russia. 
I'm from Russia. 	Ich komme aus Russland.
Wir kommen aus der Türkei.	We're from Turkey. 
We're from Turkey. 	Wir kommen aus der Türkei.
Ich komme aus der Nähe von Berlin.	I come from near Berlin.
I come from near Berlin.	Ich komme aus der Nähe von Berlin.
das Land, die Länder	country
country	das Land, die Länder
die Stadt, die Städte	city
city	die Stadt, die Städte
Wo ist das?	Where is that?
Where is that?	Wo ist das?
Das ist eine Stadt in Deutschland.	It's a city in Germany.
It's a city in Germany.	Das ist eine Stadt in Deutschland.
Herzlich willkommen!	Welcome!
Welcome!	Herzlich willkommen!
"(das) Asien
nur Singular, selten mit Artikel"	Asia
Asia	"(das) Asien
nur Singular, selten mit Artikel"
"(das) Europa
nur Singular, selten mit Artikel"	Europe
Europe	"(das) Europa
nur Singular, selten mit Artikel"
"(das) Afrika
nur Singular, selten mit Artikel"	Africa
Africa	"(das) Afrika
nur Singular, selten mit Artikel"
"(das) Nordamerika
nur Singular, selten mit Artikel"	North America
North America	"(das) Nordamerika
nur Singular, selten mit Artikel"
"(das) Südamerika
nur Singular, selten mit Artikel"	South America
South America	"(das) Südamerika
nur Singular, selten mit Artikel"
"(das) Australien
nur Singular, selten mit Artikel"	Australia
Australia	"(das) Australien
nur Singular, selten mit Artikel"
Wo wohnst du?	Where do you live? (informal)
Where do you live? (informal)	Wo wohnst du?
Wo wohnen Sie?	Where do you live? (formal)
Where do you live? (formal)	Wo wohnen Sie?
Ich wohne in Berlin.	I live in Berlin.
I live in Berlin.	Ich wohne in Berlin.
Das liegt in Ostdeutschland.	That is in eastern Germany.
That is in eastern Germany.	Das liegt in Ostdeutschland.
Wir wohnen in einem Dorf.	We live in a village.
We live in a village.	Wir wohnen in einem Dorf.
Ich wohne auf dem Land.	I live in the country.
I live in the country.	Ich wohne auf dem Land.
Wo ist das?	Where is that?
Where is that?	Wo ist das?
Das ist in Bayern.	It's in Bavaria.
It's in Bavaria.	Das ist in Bayern.
das Bundesland, die Bundesländer	German state
German state	das Bundesland, die Bundesländer
Wie ist die Adresse?	What's the address?
